geom,Plan_ID,File_Name,Allocation_Area,Planning_Area,Location_Description,Coordinates
POINT (1386117.4001063518 556434.1736451928),11461,HARWOOD PARK,Elkridge,Elkridge,NE SIDE FOREST AVE SE OF HIGHLAND AVE,"(39.1944,-76.7396)"
POINT (1368146.3422403522 571185.6764601916),11840,HEARTHSTONE OF ELLICOTT MILLS II - PH. 2,Ellicott City,Ellicott City,TERMINUS OF GROVE ANGLE RD,"(39.235,-76.803)"
POINT (1366399.144250352 569209.23327519),10891,KYONG PROPERTY,Ellicott City,Ellicott City,W SIDE HORSESHOE RD,"(39.2295,-76.8091)"
POINT (1364887.4566463493 541855.0414041914),10953,NORDAU SUBDIVISION,Southeast,Southeast,NE SIDE JONES RD N SIDE ROSE LN,"(39.1543,-76.8145)"
POINT (1366844.3750763498 580541.6893881932),10778,OVERLOOK PRESERVE,Ellicott City,Ellicott City,E SIDE OF OVERLOOK DR,"(39.2607,-76.8076)"
POINT (1371947.950324349 565819.2786531914),10898,OCH'S PROPERTY,Elkridge,Elkridge,W SIDE OF MONTGOMERY RD 100' S OF KERGER RD,"(39.2202,-76.7896)"
POINT (1334219.243168354 557970.9627711903),10635,TROTTER PINES,Columbia,Columbia,W SIDE OF TROTTER RD N OF SUMMER SUNRISE DR,"(39.1986,-76.9227)"
POINT (1376572.569432348 568759.7606391907),10613,TALBOTS WOODS I PROPERTY,Elkridge,Elkridge,N SIDE OF TALBOTS LANDING RD,"(39.2283,-76.7732)"
POINT (1349784.1840943508 528889.428650191),11182,HEATH RESIDENCE,Southeast,Southeast,HIGH RIDGE RD AT RIVER HILL RD,"(39.1187,-76.8678)"
POINT (1360604.0583623499 545614.8290931918),10652,OAKLAND PLACE  (OAKLAND MILLS PROPERTY),Columbia,Columbia,E SIDE OF OAKLAND MILLS RD 200' N OF GUILFORD RD,"(39.1647,-76.8296)"
POINT (1361551.768026352 584244.0202191919),10909,TIBER RIDGE,Ellicott City,Ellicott City,E SIDE OF ST. JOHN'S LN 200' S OF FREDERICK RD,"(39.2709,-76.8263)"
POINT (1338383.8943383507 567144.7865481917),11168,"VILLAGE OF HARPERS CHOICE, 5/9",Columbia,Columbia,TERMINUS OF MANORSTONE LN,"(39.2239,-76.908)"
POINT (1368228.2465743534 592274.5252521913),10830,EBERHART PROPERTY,Ellicott City,Ellicott City,EAST SIDE OF HIGH RIDGE RD 950' S OF CHURCH LANE RD,"(39.293,-76.8027)"
POINT (1355124.6867583506 573478.4960151911),10951,COLUMBIA WOODLANDS,Ellicott City,Ellicott City,W SIDE WOODLAND RD 650' N OF RT 108,"(39.2413,-76.8489)"
POINT (1353316.556478355 586416.1076421924),11093,PROPERTY OF ROBERT D. WEAVER,Ellicott City,Ellicott City,N SIDE OF FREDERICK RD E OF OAKLEA CT,"(39.2769,-76.8553)"
POINT (1345224.4649603516 545878.4760681931),10694,LARENAS PROPERTY,Southeast,Southeast,EAST SIDE OF OLD COLUMBIA RD 2700' N OF JOHNS HOPKINS RD,"(39.1654,-76.8839)"
POINT (1367593.417134352 583640.3595591914),11143,PROPERTY OF THEODORE & GLENNA GREEN,Ellicott City,Ellicott City,S SIDE FREDERICK RD 1000' W OF ELLICOTT MILLS DR,"(39.2692,-76.8049)"
POINT (1369015.265036352 577123.36998819),10864,STONE MANOR,Ellicott City,Ellicott City,TERMINUS OF STONECREST DR,"(39.2513,-76.7999)"
POINT (1358664.711104352 582809.0533731915),10885,DUNLOGGIN II,Ellicott City,Ellicott City,SPRING MEADOW DR,"(39.2669,-76.8364)"
POINT (1353809.3995123543 558806.6327691916),10968,DUGGAN PROPERTY,Columbia,Columbia,TERMINUS OF OWEN BROWN RD,"(39.2009,-76.8536)"
POINT (1390863.8837943524 557748.7720101904),10197,H. EDWARD LEWIS PROPERTY,Elkridge,Elkridge,W SIDE HANOVER RD OPPOSITE PATUXENT QUARTER RD,"(39.198,-76.7228)"
POINT (1341365.8922703527 541785.584063191),10969,MAPLE LAWN FARMS,Southeast,Southeast,S SIDE WATER ST,"(39.1541,-76.8975)"
POINT (1341233.8250743523 541990.6832271926),10915,MAPLE LAWN FARMS,Southeast,Southeast,N & S SIDE OF WATER ST,"(39.1547,-76.8979)"
POINT (1368614.8123583533 564003.9328611903),10817,SHIPLEY'S GRANT - PH. I,Elkridge,Elkridge,MD RT 108 AT SNOWDEN RIVER PKY,"(39.2152,-76.8013)"
POINT (1368403.3914823495 566604.4011621904),10204,GLENMAR PROPERTY,Elkridge,Elkridge,S SIDE MITZY LN,"(39.2224,-76.8021)"
POINT (1359358.488992352 594658.257557191),9005,PROPERTY OF ATHOL & LISA MORGAN,Ellicott City,Ellicott City,S SIDE OLD FREDERICK RD OPPOSITE TILLER DR,"(39.2995,-76.834)"
POINT (1368217.7605523504 597131.8116591908),10715,SAUTER PROPERTY,Ellicott City,Ellicott City,SE SIDE OF OLD FREDERICK RD 300' N OF ROLLING RIDGE CT,"(39.3063,-76.8027)"
POINT (1356954.3558943495 526430.7842391916),10748,NORTH LAUREL,Southeast,Southeast,NE QUADRANT NORTH LAUREL RD & BALTIMORE AVE,"(39.1119,-76.8425)"
POINT (1371160.6484563537 544442.054618191),10326,ROUTE ONE TEMPORARY MOBILE HOME PARK,Southeast,Southeast,EAST SIDE OF US RT 1 SOUTH OF FLEMING ST,"(39.1614,-76.7923)"
POINT (1347371.8322223537 589120.2164781913),10667,BONAGURA RESIDENCE,Ellicott City,Ellicott City,N SIDE US RT 40 E OF CEMETERY LN,"(39.2843,-76.8763)"
POINT (1368846.6384663507 577136.4614241906),10810,STONE MANOR,Ellicott City,Ellicott City,TERMINUS OF STONECREST DR,"(39.2513,-76.8005)"
POINT (1386246.0664303526 557451.3054921925),10780,HARWOOD PARK,Elkridge,Elkridge,LOUDON AVE AT SYCAMORE AVE,"(39.1972,-76.7391)"
POINT (1339183.94947635 543027.8158791903),10689,MAPLE LAWN FARMS,Southeast,Southeast,SE QUADRANT LIBERTY ST & IAGER BLVD,"(39.1576,-76.9052)"
POINT (1370257.1501283497 558428.4357291907),10610,TAGHVAEI PROPERTY,Columbia,Columbia,W SIDE WATERLOO RD S OF WOODLOO DR,"(39.1999,-76.7955)"
POINT (1368529.5071523488 592261.7974671908),10559,EBERHART PROPERTY,Ellicott City,Ellicott City,EAST SIDE OF HIGH RIDGE RD 950' S OF CHURCH LANE RD,"(39.2929,-76.8016)"
POINT (1386122.5014143512 555941.4265401904),10270,HARWOOD PARK,Elkridge,Elkridge,NE SIDE WOODBURN AVE NW OF MELROSE AVE,"(39.1931,-76.7396)"
POINT (1342196.2718503512 599787.1912611928),11069,THE COURTYARDS AT WAVERLY WOODS - EAST PH. III,Senior East,Ellicott City,SE QUADRANT MARRIOTTSVILLE RD & OLD FREDERICK RD,"(39.3136,-76.8945)"
POINT (1370973.8839023523 590883.923828192),10361,CHESTNUT HILL,Ellicott City,Ellicott City,SE QUADRANT FOREST HILL DR & CHESTNUT HILL DR,"(39.2891,-76.793)"
POINT (1371097.7323243506 590447.9062791914),10709,MUSACCHIO PROPERTY,Ellicott City,Ellicott City,S SIDE CHESTNUT CREST DR,"(39.288,-76.7926)"
POINT (1390560.0725623518 562293.3185571916),9737,ELKRIDGE CROSSING - PHASE 2,Route 1,Elkridge,W SIDE OF US RT 1 1050 FT N OF MONTGOMERY RD,"(39.2105,-76.7239)"
POINT (1363389.0891243517 584099.2871211916),10159,SIDEHILL ROAD PROPERTY,Ellicott City,Ellicott City,TERMINUS OF SIDEHILL RD,"(39.2705,-76.8198)"
POINT (1372453.2632223517 551947.4476071913),10284,BENSON EAST,Columbia,Columbia,SE QUADRANT OF WATERLOO RD & LARK BROWN RD,"(39.1821,-76.7878)"
POINT (1363988.2094083503 578523.789989192),9619,REX'S ACRES,"Ellicott City,Senior East",Ellicott City,N SIDE MONTGOMERY RD 800' SE OF OLD COLUMBIA PIKE,"(39.2552,-76.8177)"
POINT (1360524.7046823502 589611.872630192),10586,STEEPLECHASE,Ellicott City,Ellicott City,W SIDE ST. JOHN'S LN 500' N OF CHURCHGATE RD,"(39.2857,-76.8299)"
POINT (1368469.708486352 577111.3695051931),10625,STONE MANOR,Ellicott City,Ellicott City,TERMINUS OF STONECREST DR,"(39.2513,-76.8018)"
POINT (1352851.203826353 599105.3456361908),10253,ALLENFORD,Ellicott City,Ellicott City,GREEN CLOVER DR,"(39.3118,-76.8569)"
POINT (1356757.1053183489 573609.4103751909),10089,DORSEY CROSSING,Ellicott City,Ellicott City,SOUTHEAST CORNER OF OLD ANNAPOLIS ROAD AND COLUMBIA RD,"(39.2416,-76.8432)"
POINT (1368146.3422403522 571185.6764601916),9649,HEARTHSTONE OF ELLICOTT MILLS II - PH. 1 & 2,Ellicott City,Ellicott City,TERMINUS OF GROVE ANGLE RD,"(39.235,-76.803)"
POINT (1368146.3422403522 571185.6764601916),9883,HEARTHSTONE OF ELLICOTT MILLS II - PH. 1,,Ellicott City,TERMINUS OF GROVE ANGLE RD,"(39.235,-76.803)"
POINT (1376499.7340903506 567388.4327181913),10693,HERRMANN PROPERTY,Elkridge,Elkridge,EAST SIDE OF KERGER RD 200' SOUTH OF DUNTEACHIN DR,"(39.2245,-76.7735)"
POINT (1357812.2258563526 535738.4315841924),10612,STONE LAKE,Southeast,Southeast,N SIDE OF WEATHERED STONE WAY OPPOSITE SADDLEBACK PL,"(39.1375,-76.8394)"
POINT (1358743.21456635 583293.436505191),10369,DUNLOGGIN II,Ellicott City,Ellicott City,W SIDE SPRING MEADOW DR OPPOSITE SPRING FALLS CT,"(39.2683,-76.8362)"
POINT (1355487.4464383498 534189.6419751905),10105,EMERSON,Southeast,Southeast,WEST SIDE OF IRON LEAF TRAIL S SIDE OF ETERNAL RINGS RD,"(39.1332,-76.8476)"
POINT (1355459.956056349 534691.480355192),10106,EMERSON,Southeast,Southeast,WEST SIDE OF IRON LEAF TRAIL S SIDE OF ETERNAL RINGS RD,"(39.1346,-76.8477)"
POINT (1366189.7072163522 580635.874997193),9957,JUNEAU HILLS,Ellicott City,Ellicott City,SE SIDE OF COLUMBIA PIKE S OF SEARS HOUSE CT,"(39.261,-76.8099)"
POINT (1389955.5675643496 560407.4244711921),10306,"CASECARESAN, LLC. PROPERTY",Elkridge,Elkridge,SE SIDE OLD WASHINGTON RD OPPOSITE MONTGOMERY RD,"(39.2053,-76.726)"
POINT (1369635.9241763502 545642.4665691908),10003,"PURDY PROPERTY, PARCEL 267",Southeast,Southeast,E SIDE MISSION RD S OF PLEASANT CHASE RD,"(39.1647,-76.7977)"
POINT (1359510.678014353 582890.1475461908),10198,PARTHEMOS PROPERTY III,Ellicott City,Ellicott City,W SIDE CHATHAM RD 450' N OF WAYCROSS RD,"(39.2672,-76.8335)"
POINT (1370918.3363263533 570604.9258131906),9928,WORTHINGTON WEST,Ellicott City,Ellicott City,E SIDE OF MONTGOMERY RD 300' S OF WORTHINGTON WAY,"(39.2334,-76.7932)"
POINT (1355708.7865243517 559732.8518661913),9751,OWEN WOODS,Columbia,Columbia,OWEN BROWN RD WEST OF STEVENS FOREST RD,"(39.2035,-76.8469)"
POINT (1364352.1027123518 595311.3747531902),10478,STONEHOUSE OVERLOOK,Ellicott City,Ellicott City,S SIDE STONEHOUSE DR E OF PATAPSCO VALLEY DR,"(39.3013,-76.8164)"
POINT (1355913.6890623532 573419.9482041914),10374,JASON SUBDIVISION,Ellicott City,Ellicott City,TERMINUS OF COUNTRY CT,"(39.2411,-76.8461)"
POINT (1347045.9153223522 560852.5332951918),10321,HICKORY GLEN  (JERRY'S DRIVE),Columbia,Columbia,TERMINUS OF JERRY'S DR,"(39.2066,-76.8774)"
POINT (1354043.492868349 579064.9026771933),10086,RED FOX ESTATE,Ellicott City,Ellicott City,TERMINUS OF RED FOX CT,"(39.2566,-76.8527)"
POINT (1363177.9516543522 558917.5463241898),10047,ELKHORN OVERLOOK,Columbia,Columbia,TERMINUS OF OLD MONTGOMERY RD,"(39.2012,-76.8205)"
POINT (1350972.7888583504 558437.1633531917),10233,FARD PROPERTY,Columbia,Columbia,TERMINUS OF HOWES LN,"(39.1999,-76.8636)"
POINT (1344642.915848352 549825.5440221913),9015,RIVERSIDE ESTATES,Southeast,Southeast,SW QUADRANT NEWBERRY DR & JUDY LN,"(39.1762,-76.8859)"
POINT (1359209.7008423507 527362.0944501907),9442,PATUXENT SQUARE APARTMENTS & RETAIL,Route 1,Southeast,NW SIDE WASHINGTON BLVD S OF BREWERS CT,"(39.1145,-76.8345)"
POINT (1336898.2800863497 534882.3971301913),9929,JAMESTOWN LANDING,Southeast,Southeast,W SIDE OLD COLUMBIA RD OPPOSITE JAMESTOWN CT,"(39.1352,-76.9132)"
POINT (1366093.9159883521 592930.5516561922),10323,CRUTTENDEN PROPERTY,Ellicott City,Ellicott City,E SIDE ROGERS AVE N OF FABER WAY,"(39.2948,-76.8102)"
POINT (1366032.9836983494 586814.6691381913),10069,OTTEN PROPERTY,Ellicott City,Ellicott City,NORTH SIDE OF RIDGE RD 400' W OF PATAPSCO RIVER RD,"(39.278,-76.8104)"
POINT (1356017.415658351 597585.6481071897),9958,HANNON PROPERTY,Ellicott City,Ellicott City,WEST SIDE OF THE TERMINUS OF RIDGE TREE COURT.,"(39.3076,-76.8458)"
POINT (1389768.2361983545 564065.0262291916),9987,WIERKOWSKI PROPERTY,Elkridge,Elkridge,W SIDE SUMMER HOME TERR S OF LAWYERS HILL RD,"(39.2154,-76.7267)"
POINT (1364993.1670843512 579882.0264741909),10408,RRIG CORPORATION OLD COLUMBIA PIKE,Ellicott City,Ellicott City,SE SIDE OLD COLUMBIA PIKE OPPOSITE COOKS LN,"(39.2589,-76.8141)"
POINT (1387253.2913543507 556373.4439281896),10199,HARWOOD PARK,Elkridge,Elkridge,NE SIDE LOUDON AVE 200' SE OF MELROSE AVE,"(39.1942,-76.7356)"
POINT (1388138.0848863535 563256.2664051913),9896,C. WEHLAND PROPERTY,Elkridge,Elkridge,SE SIDE OF LAWYERS HILL RD,"(39.2132,-76.7324)"
POINT (1394314.918656353 561908.2121481933),10025,HUNTERS RIDGE,Elkridge,Elkridge,TERMINUS OF FAIRLEE RD,"(39.2095,-76.7106)"
POINT (1340335.4280543514 542124.8704461921),9973,MAPLE LAWN FARMS,Southeast,Southeast,TILGHMAN ST EAST OF MAPLE LAWN BLVD,"(39.1551,-76.9011)"
POINT (1388123.6311803535 559941.2238891926),8175,ELKRIDGE TOWN CENTER - PH. 1-4,"Elkridge,MIHU",Elkridge,S SIDE GREENFIELD RD AT WASHINGTON BLVD,"(39.2041,-76.7325)"
POINT (1388123.6311803535 559941.2238891926),9823,ELKRIDGE TOWN CENTER - PH 1,Elkridge,Elkridge,S SIDE GREENFIELD RD AT WASHINGTON BLVD,"(39.2041,-76.7325)"
POINT (1388123.6311803535 559941.2238891926),9824,ELKRIDGE TOWN CENTER - PH 2,Elkridge,Elkridge,S SIDE GREENFIELD RD AT WASHINGTON BLVD,"(39.2041,-76.7325)"
POINT (1388123.6311803535 559941.2238891926),9825,ELKRIDGE TOWN CENTER - PH 3,Elkridge,Elkridge,S SIDE GREENFIELD RD AT WASHINGTON BLVD,"(39.2041,-76.7325)"
POINT (1388123.6311803535 559941.2238891926),9826,ELKRIDGE TOWN CENTER - PH 4,Elkridge,Elkridge,S SIDE GREENFIELD RD AT WASHINGTON BLVD,"(39.2041,-76.7325)"
POINT (1358345.5959483497 570675.474107191),10239,"DALTON, SEC. 3, LOT 41",Columbia,Columbia,SE QUADRANT OLD LINE DR & DALTON DR,"(39.2336,-76.8376)"
POINT (1366073.7941623516 581111.5305051915),9891,MACLELLAN PROPERTY,Ellicott City,Ellicott City,NW SIDE OLD COLUMBIA PIKE OPPOSITE SEARS HOUSE CT,"(39.2623,-76.8103)"
POINT (1337470.4768003523 535031.8576911911),9882,JAMESTOWN LANDING,Southeast,Southeast,TERMINUS OF SONNET CT,"(39.1356,-76.9112)"
POINT (1337294.1982683502 534535.474076191),9805,JAMESTOWN LANDING,Southeast,Southeast,W SIDE OLD COLUMBIA RD OPPOSITE JAMESTOWN CT,"(39.1342,-76.9118)"
POINT (1343629.4559923522 598854.7900971919),9692,GTW'S WAVERLY WOODS,Ellicott City,Ellicott City,NORTH OF BIRMINGHAM WAY / WARWICK WAY INTERSECTION,"(39.3111,-76.8895)"
POINT (1355620.6472583525 532471.7546511926),10228,EMERSON,Southeast,Southeast,BOUNDLESS SHADE TERR & MEADOW FLOWERS CT,"(39.1285,-76.8472)"
POINT (1352512.8170623519 590235.8977461923),9866,GERMAN PROPERTY,Ellicott City,Ellicott City,W SIDE BETHANY LN 300' S OF PATUXENT OVERLOOK CT,"(39.2874,-76.8581)"
POINT (1385336.3331703506 559164.4653531928),9892,FREEMAN PROPERTY,Elkridge,Elkridge,W SIDE GOSHEN HUNT RD S OF LOWES LN,"(39.2019,-76.7423)"
POINT (1359319.9457763508 582874.8742041904),9752,PARTHEMOS PROPERTY III,Ellicott City,Ellicott City,WEST SIDE OF CHATHAM RD 450' NORTH OF WAYCROSS RD,"(39.2671,-76.8341)"
POINT (1355866.92707235 532413.934142191),10156,EMERSON,Southeast,Southeast,BOUNDLESS SHADE TERR & MEADOW FLOWERS CT,"(39.1284,-76.8463)"
POINT (1353261.292308353 535872.2551521901),9467,EMERSON TOWNHOUSES,Southeast,Southeast,E SIDE OF PALACE HALL DR,"(39.1379,-76.8555)"
POINT (1378046.2806323506 570511.8311571907),9677,CIDER MILL - PHASE II,Elkridge,Elkridge,SW SIDE OF LANDING RD 700' EAST OF ILCHESTER RD,"(39.2331,-76.768)"
POINT (1353501.9040023535 536465.0062821917),9470,EMERSON TOWNHOUSES,Southeast,Southeast,SE SIDE OF PALACE HALL DR & SKYLARK BLVD,"(39.1395,-76.8547)"
POINT (1348799.0648383535 558568.0777131915),10120,POE PROPERTY,Columbia,Columbia,S SIDE OWEN BROWN RD 100' W OF WOODLEIGH DR,"(39.2003,-76.8712)"
POINT (1338059.677874349 569219.4155031908),9930,VILLAGE OF HARPER'S CHOICE,Columbia,Columbia,W SIDE MANORSTONE LN 1000' S OF CLARKSVILLE PIKE,"(39.2296,-76.9091)"
POINT (1384168.983856354 555666.506384192),9969,BELMONT STATION,Route 1,Elkridge,SW SIDE US RT 1 OPPOSITE TROY HILL DR,"(39.1923,-76.7464)"
POINT (1377856.3986123502 563312.6323101912),9859,ROCKBURN VIEW,Elkridge,Elkridge,S SIDE MONTGOMERY RD 350' E OF ROCKBURN WOODS WAY,"(39.2133,-76.7687)"
POINT (1342238.215938352 590657.0056041908),8641,ELLICOTT MEADOWS - PH. 1 & 2,Rural West,Ellicott City,NORTH OF FREDERICK ROAD OPPOSITE FOLLY QUARTER RD,"(39.2885,-76.8944)"
POINT (1361149.6149123497 545152.9923231918),9638,OAKHURST II  (TRENT / LASTER PROPERTY),Columbia,Columbia,N & S SIDE GUILFORD RD E OF OAKHURST DR,"(39.1634,-76.8277)"
POINT (1370847.768232353 546768.6937161926),9864,THE CEDARS,Southeast,Southeast,SOUTH SIDE OF LINCOLN DR,"(39.1678,-76.7934)"
POINT (1352819.4623543508 564615.95749419),8796,COLUMBIA TOWN CENTER,Columbia,Columbia,NE SIDE WINCOPIN CIR,"(39.2169,-76.8571)"
POINT (1365507.54897435 589137.3080751896),5709,KAISER FARM,Ellicott City,Ellicott City,TERMINUS OF RANDOLPH WAY,"(39.2843,-76.8123)"
POINT (1353030.883230351 595028.4542751927),9137,VILLAS OF ATHLONE,"Ellicott City,Senior East",Ellicott City,NW QUADRANT OLD MILL RD & OLD FREDERICK RD,"(39.3005,-76.8563)"
POINT (1358135.5921023525 525092.1849081907),9574,ASHBURY COURTS,"Route 1,SE - Growth &amp; Revitalization",Southeast,US RT 1 AT NORTH LAUREL RD,"(39.1082,-76.8383)"
POINT (1381893.5170823522 560705.9819421917),9527,CALVERT RIDGE,Elkridge,Elkridge,TERMINUS OF CALVERT DRIVE,"(39.2062,-76.7545)"
POINT (1355642.7529263534 527154.0860781912),9786,NORTH LAUREL PARK,Southeast,Southeast,SW QUADRANT WASHINGTON ST & BOLTON ST,"(39.1139,-76.8471)"
POINT (1353543.5646843538 583748.7275571916),9725,FONT HILL VILLAGE,Ellicott City,Ellicott City,W SIDE OF CRAGSMOOR RD S OF CRAGSMOOR CT,"(39.2695,-76.8545)"
POINT (1337452.6222223528 534459.1073661931),9757,JAMESTOWN LANDING SECTION II,Southeast,Southeast,W SIDE OLD COLUMBIA RD OPPOSITE JAMESTOWN CT,"(39.134,-76.9113)"
POINT (1369892.6900123507 590937.7441761922),9483,FEDERLINE PROPERTY,Ellicott City,Ellicott City,"SOUTH OF RT 40, ABOUT 425' EAST OF GOVERNORS RUN","(39.2893,-76.7968)"
POINT (1389735.36110235 561951.8502681907),9364,ELKRIDGE CROSSING PHASE 1,Route 1,Elkridge,W SIDE OF US RT 1 1050 FT N OF MONTGOMERY RD,"(39.2096,-76.7268)"
POINT (1329676.5283943526 558608.0793231912),9614,CLARKS GLEN,Columbia,Columbia,TERMINUS OF BALLYMORE LN,"(39.2004,-76.9387)"
POINT (1386804.0928443521 555727.5997521896),9075,HARWOOD PARK,Elkridge,Elkridge,S SIDE OF BEECHFIELD AVE N OF ATHOL AVE,"(39.1925,-76.7371)"
POINT (1335266.4283383526 555362.4941481929),9688,TROTTER'S RUN,Columbia,Columbia,TERMINUS OF SOUTH TROTTER RD,"(39.1915,-76.919)"
